152.70.155.147, 延迟: 0.2888345718383789 秒
8.217.50.252, 延迟: 0.507530689239502 秒
47.243.169.63, 延迟: 0.5120136737823486 秒
8.218.222.36, 延迟: 0.5152745246887207 秒
8.210.42.171, 延迟: 0.5193648338317871 秒
47.243.70.186, 延迟: 0.5273866653442383 秒
8.219.210.57, 延迟: 0.5286078453063965 秒
47.243.60.150, 延迟: 0.5300722122192383 秒
8.218.228.152, 延迟: 0.539851188659668 秒
8.222.193.65, 延迟: 0.5399661064147949 秒
8.218.143.10, 延迟: 0.5406155586242676 秒
8.222.180.86, 延迟: 0.5451271533966064 秒
8.219.84.214, 延迟: 0.5487997531890869 秒
8.219.201.245, 延迟: 0.553769588470459 秒
47.243.90.180, 延迟: 0.5559484958648682 秒
47.245.102.52, 延迟: 0.557344913482666 秒
8.222.146.222, 延迟: 0.5614933967590332 秒
8.219.201.8, 延迟: 0.5647506713867188 秒
8.219.49.65, 延迟: 0.5674929618835449 秒
8.218.53.110, 延迟: 0.5696110725402832 秒
8.219.200.145, 延迟: 0.571336030960083 秒
8.219.113.232, 延迟: 0.5800979137420654 秒
8.219.86.200, 延迟: 0.584599494934082 秒
8.219.67.133, 延迟: 0.5858607292175293 秒
8.222.134.170, 延迟: 0.5927798748016357 秒
